"Release_poly","Settlement_poly","Distance","Count"
458,461,158.485729080213,2807
458,506,104.451935590159,3483
459,412,118.376066908102,69141
459,413,156.463961523569,162267
459,414,196.064826014255,137052
459,415,238.148645401063,19290
459,458,47.68,68960
459,460,59.9638193868084,91528
459,461,110.805729080213,9581
459,506,120.949589499097,6039
459,553,251.0224004976,10
460,412,84.0973118633863,63445
460,413,107.380649680911,210861
460,414,145.468544296378,190806
460,415,183.805348615614,27828
460,458,107.643819386808,21790
460,459,59.9638193868084,43232
460,461,50.8419096934042,7695
460,506,171.545871216973,3687
460,553,295.566802714602,4
493,446,129.122574431524,79520
493,494,56.8019096934042,166127
494,446,114.629247453545,98796
494,493,56.8019096934042,102834
494,547,292.152464787872,2
506,412,239.325656407198,39424
506,413,277.413551022666,66099
506,414,317.014415513351,36554
506,415,355.351219832587,3675
506,458,104.451935590159,182782
506,459,120.949589499097,184700
506,460,171.545871216973,57147
506,461,211.146735707659,5317
506,553,130.072810998503,1382
547,412,595.497290802126,35
547,413,646.339200495531,4
547,458,453.43628417468,1778
547,459,501.11628417468,69
547,460,561.080103561488,3
547,548,65.9238193868084,199051
547,594,131.945006726287,57657
547,595,122.931935590159,11033
547,596,135.921183043704,29275
547,640,277.119239070803,3
547,641,247.249731635857,6
547,642,240.72831013362,133
548,458,400.160103561488,34
548,547,65.9238193868084,51566
548,594,162.739096934042,2440
548,595,129.122574431524,81248
548,596,113.691935590159,302195
548,642,254.158656396834,25
548,691,332.667824268561,3
553,412,369.398467405701,59833
553,413,401.434482520294,50525
553,414,439.522377135761,34634
553,415,477.859181454997,4305
553,458,232.070430497249,99301
553,459,251.0224004976,78519
553,460,295.566802714602,31022
553,461,333.654697330069,2037
553,506,130.072810998503,17428
553,554,44.8819096934042,1
553,602,119.077393771312,1
554,412,362.260019996345,22893
554,413,392.783065235719,15225
554,414,430.870959851187,5576
554,415,469.207764170422,571
554,458,234.749247453545,108618
554,459,243.883953088244,59352
554,460,286.915385430027,19505
554,461,325.003280045494,618
554,506,130.297311863386,53456
554,553,44.8819096934042,120641
554,602,101.64,20
594,547,131.945006726287,72279
594,548,162.739096934042,12052
594,595,56.8019096934042,278956
594,596,119.563819386808,22271
594,641,115.30472490957,1519
594,642,113.691935590159,65169
594,689,215.462626225033,32
594,690,199.663871180317,13133
594,691,225.509247453545,50559
594,739,342.817311863386,14
595,547,122.931935590159,293256
595,548,129.122574431524,131843
595,594,56.8019096934042,90548
595,596,62.7619096934042,26209
595,641,156.415277547234,128
595,642,125.03608196531,8689
595,689,236.254314408667,2
595,690,207.040731588837,2116
595,691,217.206559316931,10692
595,739,340.13849490709,10
596,547,135.921183043704,35422
596,548,113.691935590159,6222
596,594,119.563819386808,29870
596,595,62.7619096934042,166600
596,641,212.853367853829,66
596,642,162.739096934042,8955
596,690,233.431882113903,1263
596,691,223.884520861229,21975
638,547,378.754374481276,12523
638,548,432.030555094467,1420
638,594,269.291458160425,60474
638,595,319.769548467021,6721
638,596,376.207638773617,1
638,639,65.9238193868084,139392
638,640,125.523819386808,206252
638,641,182.325729080213,110975
638,642,251.411458160425,19760
638,686,124.806559316931,24
638,687,115.566559316931,316
638,689,284.449675546573,12
638,690,281.876152955578,510
638,691,340.441912150208,193
639,547,325.478193868084,212
639,594,216.015277547234,102321
639,595,266.49336785383,21491
639,596,322.931458160425,101
639,638,65.9238193868084,2372
639,640,59.6,151254
639,641,116.401909693404,340578
639,642,185.487638773617,191418
639,686,137.295559363951,168
639,687,97.0865593169312,847
639,689,218.525856159765,2113
639,690,215.95233356877,29201
639,691,274.518092763399,13645
639,739,376.080254159104,11
640,547,277.119239070803,144
640,548,319.154374481276,1
640,594,156.415277547234,142469
640,595,206.893367853829,41485
640,596,263.331458160425,326
640,639,59.6,528
640,641,56.8019096934042,166328
640,642,125.887638773617,343638
640,689,160.799363693551,4493
640,690,158.225841102556,67874
640,691,216.791600297186,47872
640,739,318.35376169289,161
641,547,247.249731635857,1765
641,548,274.296806776039,7
641,594,115.30472490957,93064
641,595,156.415277547234,57624
641,596,212.853367853829,1221
641,640,56.8019096934042,278
641,642,69.0857290802126,322221
641,689,122.469021726112,2003
641,690,119.077393771312,104312
641,691,173.104243340286,161134
641,739,279.205314361647,904
642,547,240.72831013362,2
642,594,113.691935590159,4831
642,595,125.03608196531,1267
642,596,162.739096934042,10
642,640,125.887638773617,30
642,641,69.0857290802126,12960
642,689,111.218232443356,31002
642,690,85.9719355901587,276718
642,691,119.077393771312,389882
642,738,266.573686406847,1404
642,739,234.749247453545,120119
642,787,338.263871180317,5
650,412,584.957331859732,13024
650,413,615.480377099106,9878
650,414,653.568271714573,4610
